"imagePath","pixelDimension","totalLength_px","headFinLength_px","notes"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_429.329.png",0.0045,501.24,151.9,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_66.934.png",0.0045,126.92,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_171.838.png",0.0045,275.44,79.23,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_221.555.png",0.0045,162.93,44.9,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_437.737.png",0.0045,492.2,146.7,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_66.934.png",0.0045,122.26,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_221.555.png",0.0045,157.45,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_429.329.png",0.0045,460.93,122.65,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_447.447.png",0.0045,511.32,146.57,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_164752/Gal2023_DJIMini2_20230217_164752_154.154.png",0.0045,135.61,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_164752/Gal2023_DJIMini2_20230217_164752_275.709.png",0.0045,773.42,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_164752/Gal2023_DJIMini2_20230217_164752_437.837.png",0.0045,497.62,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230218/Gal2023_DJIMini2_20230218_084819/Gal2023_DJIMini2_20230218_084819_301.401.png",0.0045,282.89,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230218/Gal2023_DJIMini2_20230218_084819/Gal2023_DJIMini2_20230218_084819_315.482.png",0.0045,284.41,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230218/Gal2023_DJIMini2_20230218_084819/Gal2023_DJIMini2_20230218_084819_323.456.png",0.0045,292.68,NA,""
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230218/Gal2023_DJIMini2_20230218_150400/Gal2023_DJIMini2_20230218_150400_127.194.png",0.0045,113.53,NA,""
